county,city,state,model_year,make,model,type,cafv_eligibility,electric_utility
King,Yarrow Point,WA,2020,TESLA,MODEL X,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Skagit,La Conner,WA,2019,AUDI,E-TRON,BEV,Eligible,PUGET SOUND ENERGY INC
Island,Langley,WA,2021,VOLKSWAGEN,ID.4,BEV,Unknown,PUGET SOUND ENERGY INC
Snohomish,Edmonds,WA,2019,HYUNDAI,IONIQ,BEV,Eligible,PUGET SOUND ENERGY INC
King,Ravensdale,WA,2024,TESLA,MODEL Y,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Island,Freeland,WA,2016,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
Pierce,Gig Harbor,WA,2019,KIA,NIRO,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
Pierce,Tacoma,WA,2021,TOYOTA,PRIUS PRIME,PHEV,Not Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
Yakima,Union Gap,WA,2019,PORSCHE,CAYENNE,PHEV,Not Eligible,PACIFICORP
Franklin,Pasco,WA,2022,KIA,SORENTO,PHEV,Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF FRANKLIN COUNTY
Okanogan,Pateros,WA,2023,RIVIAN,R1S,BEV,Unknown,PUD NO 1 OF OKANOGAN COUNTY
Pierce,Buckley,WA,2023,JEEP,WRANGLER,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Skagit,Sedro-Woolley,WA,2023,KIA,EV6,BEV,Unknown,PUGET SOUND ENERGY INC
Pierce,Roy,WA,2018,CHRYSLER,PACIFICA,PHEV,Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
Pierce,South Hill,WA,2024,CHEVROLET,SILVERADO EV,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
