county,city,state,model_year,make,model,type,cafv_eligibility,electric_utility
King,Duvall,WA,2023,HYUNDAI,IONIQ 6,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Snohomish,Brier,WA,2024,TESLA,MODEL X,BEV,Unknown,PUGET SOUND ENERGY INC
King,Seatac,WA,2024,BMW,IX,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Snohomish,Brier,WA,2024,NISSAN,ARIYA,BEV,Unknown,PUGET SOUND ENERGY INC
Jefferson,Port Townsend,WA,2019,MITSUBISHI,OUTLANDER,PHEV,Not Eligible,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY
Kitsap,Bremerton,WA,2017,CHRYSLER,PACIFICA,PHEV,Eligible,PUGET SOUND ENERGY INC
King,Burien,WA,2023,HYUNDAI,TUCSON,PHEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Bothell,WA,2019,TOYOTA,PRIUS PRIME,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Clark,Washougal,WA,2023,RIVIAN,R1S,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||PACIFICORP||PUD NO 1 OF CLARK COUNTY - (WA)
King,Covington,WA,2020,TESLA,MODEL X,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Jefferson,Nordland,WA,2015,TESLA,MODEL S,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY
Clark,Battle Ground,WA,2021,VOLVO,XC90,PHEV,Not Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
Snohomish,Bothell,WA,2016,CHEVROLET,VOLT,PHEV,Eligible,PUGET SOUND ENERGY INC
Pierce,Graham,WA,2017,CHRYSLER,PACIFICA,PHEV,Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
Yakima,Zillah,WA,2021,JEEP,WRANGLER,PHEV,Not Eligible,PACIFICORP
King,Issaquah,WA,2024,MERCEDES-BENZ,EQS-CLASS SUV,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Normandy Park,WA,2024,RIVIAN,R1T,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Issaquah,WA,2017,SMART,FORTWO,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Snoqualmie,WA,2018,HONDA,CLARITY,PHEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Snoqualmie,WA,2011,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Pierce,Puyallup,WA,2020,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Pierce,Bonney Lake,WA,2024,TESLA,MODEL S,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Pierce,Tacoma,WA,2018,TESLA,MODEL 3,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
Snohomish,Arlington,WA,2024,BMW,X5,PHEV,Eligible,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY
Thurston,Yelm,WA,2024,KIA,SPORTAGE,PHEV,Eligible,PUGET SOUND ENERGY INC
Jefferson,Port Ludlow,WA,2022,MITSUBISHI,OUTLANDER,PHEV,Not Eligible,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY
Spokane,Spokane Valley,WA,2016,TESLA,MODEL S,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY
Thurston,Yelm,WA,2014,BMW,I3,PHEV,Eligible,PUGET SOUND ENERGY INC
King,Snoqualmie,WA,2018,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Snohomish,Mountlake Terrace,WA,2023,TESLA,MODEL X,BEV,Unknown,PUGET SOUND ENERGY INC
Thurston,Yelm,WA,2017,FORD,FUSION,PHEV,Not Eligible,PUGET SOUND ENERGY INC
King,Shoreline,WA,2020,BMW,I3,BEV,Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Pierce,Lakebay,WA,2021,TOYOTA,RAV4 PRIME,PHEV,Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
King,Redmond,WA,2021,POLESTAR,PS2,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Pierce,Tacoma,WA,2016,NISSAN,LEAF,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
King,Lake Forest Park,WA,2019,TESLA,MODEL S,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Snohomish,Edmonds,WA,2014,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
Pierce,Tacoma,WA,2021,BMW,330E,PHEV,Not Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
Clark,Battle Ground,WA,2017,VOLVO,XC90,PHEV,Not Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
Clark,Battle Ground,WA,2019,HYUNDAI,KONA,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
Clark,Washougal,WA,2024,RIVIAN,R1S,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||PACIFICORP||PUD NO 1 OF CLARK COUNTY - (WA)
Pierce,Puyallup,WA,2024,TESLA,MODEL 3,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Jefferson,Quilcene,WA,2019,VOLVO,XC60,PHEV,Not Eligible,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY
Kitsap,Kingston,WA,2021,HYUNDAI,KONA ELECTRIC,BEV,Unknown,PUGET SOUND ENERGY INC
Lewis,Winlock,WA,2021,TESLA,MODEL 3,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Snohomish,Mountlake Terrace,WA,2015,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
King,Renton,WA,2024,BMW,I5,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Mason,Shelton,WA,2020,TESLA,MODEL X,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY
Clark,Battle Ground,WA,2016,FORD,C-MAX,PHEV,Not Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
Cowlitz,Woodland,WA,2014,BMW,I3,PHEV,Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY
King,Federal Way,WA,2022,VOLVO,XC90,PHEV,Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
Snohomish,Lynnwood,WA,2023,RIVIAN,R1T,BEV,Unknown,PUGET SOUND ENERGY INC
Thurston,Rochester,WA,2023,TESLA,MODEL X,BEV,Unknown,PUGET SOUND ENERGY INC
Thurston,Tumwater,WA,2023,TESLA,MODEL X,BEV,Unknown,PUGET SOUND ENERGY INC
Snohomish,Arlington,WA,2015,NISSAN,LEAF,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY
Spokane,Liberty Lake,WA,2021,PORSCHE,TAYCAN,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY
King,Shoreline,WA,2023,FISKER,OCEAN,BEV,Unknown,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
King,Ravensdale,WA,2016,FORD,C-MAX,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Duvall,WA,2022,VOLVO,XC40,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Kitsap,Kingston,WA,2022,KIA,EV6,BEV,Unknown,PUGET SOUND ENERGY INC
Clark,Washougal,WA,2024,VOLVO,XC60,PHEV,Eligible,BONNEVILLE POWER ADMINISTRATION||PACIFICORP||PUD NO 1 OF CLARK COUNTY - (WA)
King,Sammamish,WA,2025,RIVIAN,R1S,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Thurston,Lacey,WA,2014,TOYOTA,PRIUS PLUG-IN,PHEV,Not Eligible,PUGET SOUND ENERGY INC
Thurston,Olympia,WA,2022,AUDI,Q5,PHEV,Not Eligible,PUGET SOUND ENERGY INC
Snohomish,Stanwood,WA,2021,VOLVO,XC90,PHEV,Not Eligible,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY
Kitsap,Poulsbo,WA,2023,KIA,EV6,BEV,Unknown,PUGET SOUND ENERGY INC
Kittitas,Cle Elum,WA,2022,AUDI,Q5,PHEV,Not Eligible,PUGET SOUND ENERGY INC
Snohomish,Edmonds,WA,2023,BMW,IX,BEV,Unknown,PUGET SOUND ENERGY INC
King,Maple Valley,WA,2019,MITSUBISHI,OUTLANDER,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Snohomish,Monroe,WA,2023,FORD,F-150,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY
Snohomish,Mountlake Terrace,WA,2023,FORD,MUSTANG MACH-E,BEV,Unknown,PUGET SOUND ENERGY INC
Kitsap,Bremerton,WA,2021,VOLVO,S60,PHEV,Not Eligible,PUGET SOUND ENERGY INC
King,Lake Forest Park,WA,2023,GENESIS,GV60,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Whatcom,Bellingham,WA,2022,JEEP,GRAND CHEROKEE,PHEV,Not Eligible,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY
King,Bellevue,WA,2024,BMW,XM,PHEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Clallam,Port Angeles,WA,2019,NISSAN,LEAF,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY
King,Woodinville,WA,2015,CHEVROLET,VOLT,PHEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Kitsap,Poulsbo,WA,2024,LEXUS,RX,PHEV,Eligible,PUGET SOUND ENERGY INC
Kitsap,Hansville,WA,2021,BMW,X3,PHEV,Not Eligible,PUGET SOUND ENERGY INC
King,Bothell,WA,2023,JEEP,WRANGLER,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Carnation,WA,2022,KIA,EV6,BEV,Unknown,CITY OF TACOMA - (WA)||TANNER ELECTRIC COOP
King,Duvall,WA,2022,VOLVO,C40,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Snohomish,Granite Falls,WA,2024,FORD,F-150,BEV,Unknown,PUGET SOUND ENERGY INC
Snohomish,Edmonds,WA,2023,MITSUBISHI,OUTLANDER,PHEV,Eligible,PUGET SOUND ENERGY INC
King,Kent,WA,2023,JAGUAR,I-PACE,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Lake Forest Park,WA,2016,MERCEDES-BENZ,B-CLASS,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Covington,WA,2023,HYUNDAI,IONIQ 5,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Maple Valley,WA,2024,VOLVO,XC90,PHEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Maple Valley,WA,2019,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Covington,WA,2015,CHEVROLET,VOLT,PHEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Mercer Island,WA,2024,RIVIAN,R1S,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Shoreline,WA,2022,MERCEDES-BENZ,EQS-CLASS SEDAN,BEV,Unknown,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
King,Sammamish,WA,2022,VOLVO,XC60,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Island,Langley,WA,2023,RIVIAN,R1T,BEV,Unknown,PUGET SOUND ENERGY INC
Clark,Brush Prairie,WA,2021,VOLKSWAGEN,ID.4,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
Kitsap,Kingston,WA,2013,FORD,FUSION,PHEV,Not Eligible,PUGET SOUND ENERGY INC
Clark,Washougal,WA,2020,CHEVROLET,BOLT EV,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
King,Federal Way,WA,2018,BMW,X5,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Clark,La Center,WA,2015,CHEVROLET,VOLT,PHEV,Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
King,Vashon,WA,2020,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Thurston,Lacey,WA,2017,BMW,330E,PHEV,Not Eligible,PUGET SOUND ENERGY INC
King,Seattle,WA,2000,FORD,RANGER,BEV,Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Snohomish,Marysville,WA,2015,FORD,FUSION,PHEV,Not Eligible,PUGET SOUND ENERGY INC
Cowlitz,Longview,WA,2023,FORD,F-150,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY
King,Federal Way,WA,2024,KIA,EV9,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Clallam,Sequim,WA,2017,TESLA,MODEL S,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY
King,Maple Valley,WA,2016,BMW,I8,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Snohomish,Lynnwood,WA,2024,BMW,X5,PHEV,Eligible,PUGET SOUND ENERGY INC
King,Mercer Island,WA,2018,PORSCHE,PANAMERA,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Thurston,Olympia,WA,2018,BMW,X5,PHEV,Not Eligible,PUGET SOUND ENERGY INC
King,Enumclaw,WA,2022,TESLA,MODEL Y,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Snohomish,Bothell,WA,2017,CHRYSLER,PACIFICA,PHEV,Eligible,PUGET SOUND ENERGY INC
Clark,Washougal,WA,2024,SUBARU,SOLTERRA,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
Snohomish,Mill Creek,WA,2020,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC
King,Duvall,WA,2012,TOYOTA,PRIUS PLUG-IN,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Pierce,Milton,WA,2023,RIVIAN,R1T,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||CITY OF MILTON - (WA)|CITY OF TACOMA - (WA)
Snohomish,Arlington,WA,2018,FORD,FUSION,PHEV,Not Eligible,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY
Kitsap,Bainbridge Island,WA,2021,VOLVO,V60,PHEV,Not Eligible,PUGET SOUND ENERGY INC
King,Redmond,WA,2014,HONDA,ACCORD,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Whatcom,Bellingham,WA,2019,AUDI,E-TRON,BEV,Eligible,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY
King,Seattle,WA,2024,VOLVO,XC60,PHEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Clark,Washougal,WA,2023,FORD,ESCAPE,PHEV,Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
King,Snoqualmie,WA,2021,VOLVO,XC40,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Kent,WA,2024,KIA,NIRO,PHEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Whatcom,Bellingham,WA,2016,AUDI,A3,PHEV,Not Eligible,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY
King,Algona,WA,2023,TESLA,MODEL Y,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Thurston,Lacey,WA,2020,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC
King,Lake Forest Park,WA,2024,TOYOTA,RAV4 PRIME,PHEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Federal Way,WA,2016,VOLVO,XC90,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
San Juan,Eastsound,WA,2022,HYUNDAI,TUCSON,PHEV,Eligible,BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP
Chelan,Wenatchee,WA,2024,RIVIAN,R1S,BEV,Unknown,PUD NO 1 OF CHELAN COUNTY
King,Des Moines,WA,2013,TOYOTA,PRIUS PLUG-IN,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Seattle,WA,2011,AZURE DYNAMICS,TRANSIT CONNECT ELECTRIC,BEV,Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Snohomish,Bothell,WA,2022,KIA,SORENTO,PHEV,Eligible,PUGET SOUND ENERGY INC
King,Tukwila,WA,2018,KIA,NIRO,PHEV,Not Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Clark,Yacolt,WA,2024,KIA,EV9,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
Snohomish,Lynnwood,WA,2022,KIA,SORENTO,PHEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Monroe,WA,2024,ALFA ROMEO,TONALE,PHEV,Eligible,PUGET SOUND ENERGY INC
King,Snoqualmie,WA,2023,HYUNDAI,IONIQ 6,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Whatcom,Bellingham,WA,2023,VOLKSWAGEN,ID.4,BEV,Unknown,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY
King,Normandy Park,WA,2020,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Mercer Island,WA,2022,HYUNDAI,SANTA FE,PHEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Seatac,WA,2012,CHEVROLET,VOLT,PHEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Kitsap,Olalla,WA,2023,CHEVROLET,BOLT EV,BEV,Unknown,PUGET SOUND ENERGY INC
Pierce,Bonney Lake,WA,2019,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Douglas,East Wenatchee,WA,2024,TOYOTA,RAV4 PRIME,PHEV,Eligible,PUD NO 1 OF DOUGLAS COUNTY
King,Kirkland,WA,2019,HONDA,CLARITY,PHEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Snohomish,Mountlake Terrace,WA,2020,HONDA,CLARITY,PHEV,Eligible,PUGET SOUND ENERGY INC
King,Seatac,WA,2022,VOLVO,V60,PHEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Duvall,WA,2024,AUDI,Q8,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Clallam,Port Angeles,WA,2011,NISSAN,LEAF,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF PORT ANGELES - (WA)
Pierce,University Place,WA,2022,FORD,MUSTANG MACH-E,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
Snohomish,Woodinville,WA,2021,VOLKSWAGEN,ID.4,BEV,Unknown,PUGET SOUND ENERGY INC
Clark,Woodland,WA,2023,VOLKSWAGEN,ID.4,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
Snohomish,Arlington,WA,2021,VOLKSWAGEN,ID.4,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY
San Juan,Lopez Island,WA,2019,BMW,I3,PHEV,Eligible,BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP
King,Mercer Island,WA,2018,TOYOTA,PRIUS PRIME,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Snohomish,Everett,WA,2019,MITSUBISHI,OUTLANDER,PHEV,Not Eligible,PUGET SOUND ENERGY INC
Spokane,Fairchild Air Force Base,WA,2023,JEEP,GRAND CHEROKEE,PHEV,Not Eligible,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY
Benton,Richland,WA,2020,CHEVROLET,BOLT EV,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA)
King,Normandy Park,WA,2024,BMW,IX,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Clallam,Port Angeles,WA,2023,FORD,MUSTANG MACH-E,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||CITY OF PORT ANGELES - (WA)
King,Duvall,WA,2016,VOLVO,XC90,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Kitsap,Bremerton,WA,2015,BMW,I3,PHEV,Eligible,PUGET SOUND ENERGY INC
King,Issaquah,WA,2023,PORSCHE,TAYCAN,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Snohomish,Snohomish,WA,2018,HONDA,CLARITY,PHEV,Eligible,PUGET SOUND ENERGY INC
Pierce,Spanaway,WA,2021,TESLA,MODEL Y,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
Benton,Kennewick,WA,2017,TESLA,MODEL X,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY
Clark,Brush Prairie,WA,2019,HYUNDAI,IONIQ,PHEV,Not Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
Clark,Camas,WA,2013,FORD,C-MAX,PHEV,Not Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
Clallam,Sequim,WA,2015,TESLA,MODEL S,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY
Yakima,Yakima,WA,2016,TESLA,MODEL S,BEV,Eligible,PACIFICORP
Pacific,Ocean Park,WA,2018,KIA,NIRO,PHEV,Not Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 2 OF PACIFIC COUNTY
King,Covington,WA,2023,LUCID,AIR,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Maple Valley,WA,2020,BMW,745E,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Thurston,Yelm,WA,2024,JEEP,GRAND CHEROKEE,PHEV,Not Eligible,PUGET SOUND ENERGY INC
Clark,Camas,WA,2021,PORSCHE,TAYCAN,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
King,Shoreline,WA,2015,SMART,FORTWO ELECTRIC DRIVE,BEV,Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Clallam,Port Angeles,WA,2017,TOYOTA,PRIUS PRIME,PHEV,Not Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF PORT ANGELES - (WA)
Cowlitz,Longview,WA,2021,TOYOTA,RAV4 PRIME,PHEV,Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY
Snohomish,Lake Stevens,WA,2020,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
Clark,Camas,WA,2017,TESLA,MODEL 3,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
Clark,Ridgefield,WA,2015,FORD,C-MAX,PHEV,Not Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
King,Seattle,WA,2016,MERCEDES-BENZ,S-CLASS,PHEV,Not Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Spokane,Spokane Valley,WA,2022,TESLA,MODEL X,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY
Snohomish,Brier,WA,2022,TESLA,MODEL 3,BEV,Unknown,PUGET SOUND ENERGY INC
Snohomish,Bothell,WA,2020,HYUNDAI,KONA,BEV,Eligible,PUGET SOUND ENERGY INC
Thurston,Lacey,WA,2022,VOLVO,XC90,PHEV,Not Eligible,PUGET SOUND ENERGY INC
King,Woodinville,WA,2018,VOLVO,XC60,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Pacific,Raymond,WA,2013,TESLA,MODEL S,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 2 OF PACIFIC COUNTY
Snohomish,Snohomish,WA,2022,VOLVO,C40,BEV,Unknown,PUGET SOUND ENERGY INC
King,Auburn,WA,2013,FORD,FUSION,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Redmond,WA,2023,TOYOTA,PRIUS PRIME,PHEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Snoqualmie,WA,2018,TOYOTA,PRIUS PRIME,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Thurston,Yelm,WA,2021,JEEP,WRANGLER,PHEV,Not Eligible,PUGET SOUND ENERGY INC
King,Mercer Island,WA,2023,CHEVROLET,BOLT EV,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Bellevue,WA,2019,VOLVO,XC60,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Renton,WA,2023,BMW,330E,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Snohomish,Monroe,WA,2022,AUDI,Q5,PHEV,Not Eligible,PUGET SOUND ENERGY INC
